title,label
Government announces new agricultural support program,1
Scientists discover a new species in the Amazon rainforest,1
Parliament passes new education reform bill,1
Researchers develop affordable water purification technology,1
Local hospital opens advanced cancer treatment center,1
Space agency successfully launches weather satellite,1
University introduces artificial intelligence degree program,1
New renewable energy project approved by government,1
Health ministry launches nationwide vaccination campaign,1
Major company invests in green energy infrastructure,1
Aliens officially elected as world leaders,0
Scientists confirm humans can live without sleep forever,0
Government secretly controlled by talking cats,0
Time traveler reveals next hundred years of history,0
Moon made entirely of cheese confirms study,0
Dinosaurs found working in corporate offices,0
Invisible city discovered beneath the ocean,0
People can now survive without food for ten years,0
Dragon spotted flying above international airport,0
Secret machine turns water into unlimited gold,0
Government launches digital public service platform,1
New bridge project improves transportation network,1
Researchers publish study on climate change impacts,1
National employment program creates new opportunities,1
Scientists discover promising treatment for rare disease,1
Ghost elected as president of imaginary country,0
Secret portal opens between Earth and Mars,0
Humans can communicate with trees through smartphones,0
Ancient dragons found beneath city subway system,0
Flying elephants seen delivering mail worldwide,0
Central bank announces new financial regulations,1
Technology company releases advanced cybersecurity software,1
Public transportation receives major modernization upgrade,1
New scholarship scheme supports rural students,1
Researchers develop faster battery charging technology,1
Alien king purchases entire planet Earth,0
Scientists discover invisible unicorn population,0
Government replaces parliament with robots overnight,0
Magic potion grants unlimited intelligence forever,0
Sun will rise in the west starting tomorrow,0
Healthcare initiative improves access to medical services,1
Scientists discover new exoplanet in distant galaxy,1
Agricultural innovation increases crop productivity,1
National sports program promotes youth participation,1
University researchers publish breakthrough AI study,1
People can breathe underwater after eating special fruit,0
World's oceans replaced with orange juice overnight,0
Cats officially become highest-ranking military officers,0
Moon hotel welcomes first dinosaur tourists,0
Machines predict lottery numbers with 100 percent accuracy,0